Nome Completo;Nome Urna;Cargo;Número;Partido
MAURICIO PEREIRA CARDOSO;MAURICIO CARDOSO;Deputado Federal;2738;DC
MANOEL MAURICIO SILVA NEVES;MAURICIO NEVES;Deputado Federal;1100;PP
MAURICIO RAPPA SANTOS;MAURÍCIO RAPPA;Deputado Federal;3020;NOVO
MAURREN HIGA MAGGI;MAURREN MAGGI;Deputado Federal;1080;REPUBLICANOS
MAXWELL TEODORO MARIANEK ALVES;MAX MARIANEK;Deputado Federal;2101;PCB
MAXIMILIANO RODRIGUES;MAX RODRIGUES;Deputado Federal;7747;SOLIDARIEDADE
MAYRA LARISSA COSTA MIRANDA;MAYRA MIRANDA;Deputado Federal;4426;UNIÃO
MARIO EDUARDO DE OLIVEIRA;MEO;Deputado Federal;2734;DC
DEJAIR DIAS DA SILVA;MESTRE DEJAIR CANIBAL;Deputado Federal;1272;PDT
MARCOS PARAÍSO DA SILVA;MESTRE PARAÍSO;Deputado Federal;2885;PRTB
ADENILSON SILVA ALVES;MESTRE TICO;Deputado Federal;1517;MDB
ALEXANDRE MANOEL LEME;MESTRE XANDÃO;Deputado Federal;4419;UNIÃO
MICHEL ARAUJO SILVA FIGUEREDO;MICHEL FIGUEREDO;Deputado Federal;5119;PATRIOTA
MICHELLI CASSIANA DA PAIXÃO;MICHELLI PAIXÃO;Deputado Federal;1113;PP
MIGUEL GOMES FERNANDES;MIGUEL GOMES;Deputado Federal;3365;PMN
MIGUEL LOMBARDI;MIGUEL LOMBARDI;Deputado Federal;2277;PL
MILTON ANTONIO CASQUEL MONTI;MILTON MONTI;Deputado Federal;5599;PSD
MILTON VIEIRA PINTO;MILTON VIEIRA;Deputado Federal;1055;REPUBLICANOS
MIRANICE DOS SANTOS BARRETO;MIRAH BARRETO;Deputado Federal;9017;PROS
VALDOMIRO SUTERIO;MIRO SUTÉRIO;Deputado Federal;7741;SOLIDARIEDADE
MARIA MIRTES LOPES DA SILVA CAMELO;MIRTES LOPES;Deputado Federal;3697;AGIR
ELIMARA LOTERIO DA SILVA DIAS;MISSIONÁRIA ELIMARA LOTERIO;Deputado Federal;3350;PMN
JOSÉ MAURO SOUZA DA SILVA;MISSIONÁRIO JOSÉ MAURO;Deputado Federal;3367;PMN
JOSÉ OLIMPIO SILVEIRA MORAES;MISSIONÁRIO JOSÉ OLÍMPIO;Deputado Federal;2241;PL
MOACIR RODRIGUES FERNANDES;MOACYR FERNANDES;Deputado Federal;3610;AGIR
JOARLEY MOISES ALVES DOS SANTOS;MOISES PATRIA E DEFESA;Deputado Federal;1406;PTB
MÔNICA GABRIELA BUAVA DE FREITAS;MÔNICA BUAVA MANDATO ANIMAL;Deputado Federal;4366;PV
MONICA APARECIDA CALAZANS;MONICA CALAZANS;Deputado Federal;4530;PSDB
MONICA FERREIRA BITENCOURT DE ALMEIDA;MONICA NEGA;Deputado Federal;2004;PSC
MONICA ROSENBERG BRAIZAT;MONICA ROSENBERG;Deputado Federal;3077;NOVO
MÔNICA APARECIDA DA SILVA SONTINI;MÔNICA SONTINI;Deputado Federal;2025;PSC
MÔNICA DE OLIVEIRA LOURENÇO VELOSO;MÔNICA VELOSO;Deputado Federal;1255;PDT
MONIQUE FERNANDES MACHADO;MONYKE BRASIL;Deputado Federal;2711;DC
JOSÉ MARIO YAMASHITA;MORI YAMASHITA;Deputado Federal;1108;PP
SERGIO RICARDO RIBEIRO DE OLIVEIRA;MORTADELA;Deputado Federal;1903;PODE
LUIZ CARLOS MOTTA;MOTTA;Deputado Federal;2244;PL
MUNIR WAHHAB;MUNIR WAHHAB;Deputado Federal;1420;PTB
RICARDO MURILO COGHI;MURILO COGHI;Deputado Federal;4409;UNIÃO
