Nome Completo;Nome Urna;Cargo;Número;Partido
ALTINO DE MELO PRAZERES JUNIOR;ALTINO;Governador;16;PSTU
ANTONIO JORGE FILHO;ANTONIO JORGE;Governador;27;DC
CAROLINA REJAILI VIGLIAR;CAROL VIGLIAR;Governador;80;UP
EDSON DORTA SILVA;EDSON DORTA;Governador;29;PCO
ELVIS LEONARDO CEZAR;ELVIS CEZAR;Governador;12;PDT
FERNANDO HADDAD;FERNANDO HADDAD;Governador;13;PT
GABRIEL MAURILIO COLOMBO DE FREITAS;GABRIEL COLOMBO;Governador;21;PCB
RODRIGO GARCIA;RODRIGO GARCIA;Governador;45;PSDB
TARCISIO GOMES DE FREITAS;TARCÍSIO;Governador;10;REPUBLICANOS
VINICIUS LAZZER POIT;VINICIUS POIT;Governador;30;NOVO
ABDULBASET JAROUR;ABDUL JAROUR;Deputado Estadual;40999;PSB
ABELARDO WANDERLINO DA COSTA NETO;ABELARDO;Deputado Estadual;10110;REPUBLICANOS
ABIDAN HENRIQUE DA SILVA;ABIDAN HENRIQUE;Deputado Estadual;40321;PSB
ABNER DELUQUI ISIDORO;ABNER ISIDORO;Deputado Estadual;10345;REPUBLICANOS
VITOR ABOU ANNI;ABOU ANNI FILHO;Deputado Estadual;44100;UNIÃO
ADA HENRIQUE XAVIER;ADA XAVIER;Deputado Estadual;14125;PTB
ADALBERTO GODOY FREITAS;ADALBERTO FREITAS;Deputado Estadual;45888;PSDB
JOSE CARLOS ADAO;ADÃO;Deputado Estadual;55844;PSD
ADÃO DA SILVA;ADÃO DA SILVA;Deputado Estadual;90789;PROS
ADENILDES ALVES ROCHA;ADÊ ROCHA;Deputado Estadual;77048;SOLIDARIEDADE
ADÉLIA OLIVEIRA DE FARIAS;ADÉLIA;Deputado Estadual;13066;PT
ADELMACIR DE SOUZA;ADELMO JUNIOR;Deputado Estadual;35330;PMB
ADENILSON PEREIRA DE AMORIM;ADENILSON AMORIM;Deputado Estadual;44770;UNIÃO
ADENILTON FERREIRA DA SILVA;ADENILTON FERREIRA;Deputado Estadual;77800;SOLIDARIEDADE
ADILSON DOS SANTOS;ADILSON DOS SANTOS;Deputado Estadual;16789;PSTU
ADILSON DE SOUZA ROCHA;ADILSON JACARÉ;Deputado Estadual;77040;SOLIDARIEDADE
ADMILSON DE SOUZA;ADMILSON DAS LOTÉRICAS;Deputado Estadual;44190;UNIÃO
ADONAI DOS SANTOS SOARES JÚNIOR;ADONAI;Deputado Estadual;70567;AVANTE
ADRIANA SANTOS BARRENHA;ADRIANA BARRENHA;Deputado Estadual;36203;AGIR
ADRIANA SANCHES GALDEANO BORGO;ADRIANA BORGO;Deputado Estadual;36190;AGIR
ADRIANA COELHO DE OLIVEIRA;ADRIANA COELHO PRETA PRETINHA;Deputado Estadual;33065;PMN
ADRIANA APARECIDA FELIX;ADRIANA DO HOSPITAL;Deputado Estadual;11611;PP
ADRIANA SCANAVEZ DOS SANTOS;ADRIANA DO POVO DA CULTURA;Deputado Estadual;50456;PSOL
ADRIANA GLEDYS ZINK;ADRIANA GLEDYS ZINK;Deputado Estadual;45333;PSDB
ADRIANA GOMES;ADRIANA GOMES;Deputado Estadual;12033;PDT
ANDROMEDES BARBOSA OKABE;ADRIANA OKABE;Deputado Estadual;22058;PL
ADRIANA NOGUEIRA DO PRADO;ADRIANA PRADO;Deputado Estadual;51350;PATRIOTA
ADRIANA RANGEL RIBEIRO;ADRIANA RANGEL;Deputado Estadual;35361;PMB
ADRIANA SOUZA DOS SANTOS PEREIRA;ADRIANA SOUZA;Deputado Estadual;70345;AVANTE
ADRIANO BEDORE;ADRIANO BEDORE;Deputado Estadual;45450;PSDB
ADRIANO DE BARROS CARUSO;ADRIANO DE BARROS CARUSO;Deputado Estadual;14128;PTB
FRANCISCO ADRIANO MACENA DE ALMEIDA;ADRIANO MACENA (CHEIRINHO);Deputado Estadual;28655;PRTB
EWERTON DA SILVA CARVALHO;ADVOGADO EWERTON;Deputado Estadual;65000;PC do B
AFONSO MARIA SILVA SALES;AFONSO SALES;Deputado Estadual;14032;PTB
DANILO MASCARENHAS DE BALAS;AGENTE FEDERAL DANILO BALAS;Deputado Estadual;22007;PL
LUIZ FERNANDO PIVA CRUZ;AGENTE PIVA;Deputado Estadual;55600;PSD
SÉRGIO DONIZETE FERREIRA;AGENTE POLICIAL SERGINHO;Deputado Estadual;19196;PODE
ANTONIO AGNALDO DOS SANTOS;AGNALDO GELIM;Deputado Estadual;90557;PROS
JOSÉ AGRIPINO DA SILVA;AGRIPINO MAGALHÃES JUNIOR;Deputado Estadual;15456;MDB
AILDO RODRIGUES FERREIRA;AILDO RODRIGUES;Deputado Estadual;10100;REPUBLICANOS
AILTON AMARAL DOS SANTOS;AILTON AMARAL;Deputado Estadual;50200;PSOL
AIRTON DA COSTA LOURENÇO;AIRTON LOURENÇO;Deputado Estadual;12124;PDT
ÁKILA SEVERO DE AZEVEDO;AKILA SEVERO;Deputado Estadual;90014;PROS
ALAINE SILVA SOUZA SANTOS;ALAINE;Deputado Estadual;51200;PATRIOTA
JOSE ALAOR FERNANDES ROSSI;ALAOR ROSSI;Deputado Estadual;51349;PATRIOTA
ALBERTO DE HOLLANDA HADDAD;ALBERTINHO O SOBRINHO DO MALUF;Deputado Estadual;11011;PP
ALBERTO SABINO DE OLIVEIRA;ALBERTO SABINO DE OLIVEIRA;Deputado Estadual;11890;PP
ANTONIO CARLOS ALBINO;ALBINO;Deputado Estadual;22456;PL
VALDIR SOARES DE ALBUQUERQUE;ALBUQUERQUE;Deputado Estadual;77332;SOLIDARIEDADE
JOSE ALDO DEMARCHI;ALDO DEMARCHI;Deputado Estadual;44122;UNIÃO
ALDO ALMEIDA;ALDO MAUÁ;Deputado Estadual;36193;AGIR
ALEXSANDRA OLIVEIRA BEZERRA;ALE BEZERRA;Deputado Estadual;12100;PDT
ALEXANDRE EUGENIO BATISTA;ALE TESOURA;Deputado Estadual;90123;PROS
ALESSANDRA VECCHIO SOBRINHO;ALE VECCHIO;Deputado Estadual;33133;PMN
ALEXANDRE GONÇALVES DEMETRIO ZAHRA;ALE ZAHRA;Deputado Estadual;14111;PTB
GETULIO ALEGRE DOS SANTOS;ALEGRE;Deputado Estadual;51017;PATRIOTA
CARLOS ALBERTO MARCOS;ALEMÃO DA ASSOJURIS;Deputado Estadual;13580;PT
JOSE CANDIDO DA SILVA;ALEMÃO DA VISTA LINDA BERTIOGA;Deputado Estadual;27251;DC
EDEMIR DE MELO;ALEMÃO DO CONSELHO;Deputado Estadual;44451;UNIÃO
ALENATO MARTINS VIDAL;ALENATO VIDAL;Deputado Estadual;36017;AGIR
ALESSANDRA ABE;ALESSANDRA ABE;Deputado Estadual;35888;PMB
ALESSANDRA CRISTIANE SOARES GARCIA ALGARIN;ALESSANDRA ALGARIN;Deputado Estadual;19719;PODE
ALESSANDRA VIEIRA DE CAMARGO TELES;ALESSANDRA GONZAGA;Deputado Estadual;45122;PSDB
ALESSANDRA ALMEIDA PEREIRA;ALESSANDRA LOBINHA;Deputado Estadual;22373;PL
ALESSANDRA JULIO PAES;ALESSANDRA PAES;Deputado Estadual;77707;SOLIDARIEDADE
ALESSANDRA BELLUCCI;ALESSANDRA PROTETORA ANIMAIS;Deputado Estadual;10605;REPUBLICANOS
ALESSANDRO CÉZAR ARAÚJO AZEVEDO;ALESSANDRO CULTURA VIVA;Deputado Estadual;13000;PT
ALESSANDRO FAUSTINO MARTINS;ALESSANDRO MARTINS;Deputado Estadual;12990;PDT
ALEUSON ROSA DA SILVA;ALEUSON ROSA;Deputado Estadual;28322;PRTB
ALEXSANDER MELO BUENO;ALEX BUENO;Deputado Estadual;12369;PDT
ALEX CANUTO DE SÁ CUNHA;ALEX CANUTO;Deputado Estadual;90922;PROS
ALEXANDER MUNIZ DE OLIVEIRA;ALEX DE MADUREIRA;Deputado Estadual;22777;PL
ALEX SANDRO BENTO FERNANDES;ALEX FERNANDES;Deputado Estadual;51533;PATRIOTA
ALEX FABIANO COSTA GARCIA;ALEX GARCIA;Deputado Estadual;36666;AGIR
ALEX SANDRO GOMES;ALEX MINDUÍN;Deputado Estadual;13330;PT
ALEXANDRO DE ARAÚJO;ALEX TAILÂNDIA;Deputado Estadual;55790;PSD
ALEXANDRA DE ABREU;ALEXANDRA ABREU;Deputado Estadual;30972;NOVO
ALEXANDRE CABRAL DE OLIVEIRA;ALEXANDRE CABRAL;Deputado Estadual;27321;DC
ALEXANDRE DE OLIVEIRA;ALEXANDRE DE OLIVEIRA;Deputado Estadual;15177;MDB
ALEXANDRE HARTMANN;ALEXANDRE HARTMANN;Deputado Estadual;27011;DC
ALEXANDRE RIBEIRO MUSTAFA;ALEXANDRE MUSTAFA;Deputado Estadual;45455;PSDB
ALEXANDRE PEREIRA DA SILVA;ALEXANDRE PEREIRA;Deputado Estadual;77777;SOLIDARIEDADE
ALEXANDRE SÓCRATES NAVISKAS;ALEXANDRE SÓCRATES GARGAMEL;Deputado Estadual;40377;PSB
ALEXANDRE SIMÕES PIMENTEL;ALEXANDRE TRAB. DA PERIFERIA;Deputado Estadual;40813;PSB
ALEXSANDRA BEZERRA LEITE DA SILVA;ALEXSANDRA ELOÁH;Deputado Estadual;20025;PSC
ALEXYA LUCAS EVANGELISTA SALVADOR;ALEXYA SALVADOR;Deputado Estadual;13013;PT
ALINE FELIPE SOARES CARVALHO;ALINE CARVALHO;Deputado Estadual;70740;AVANTE
ALINE CATARINE GONDIM;ALINE DA MANDATA DAGENTE;Deputado Estadual;50130;PSOL
ALINE CARBALLO TEIXEIRA;ALINE TEIXEIRA;Deputado Estadual;44156;UNIÃO
ALLI AHMAD MAJDOUB;ALLI BARUK;Deputado Estadual;15070;MDB
ALLINSON PAULO NUNES;ALLINSON NUNES;Deputado Estadual;20077;PSC
ALLINY FERNANDA SARTORI PADALINO ROGÉRIO;ALLINY SARTORI;Deputado Estadual;15333;MDB
ALTAIR MORAES DE OLIVEIRA;ALTAIR MORAES;Deputado Estadual;10333;REPUBLICANOS
AMANDA OLIVEIRA BISPO;AMANDA BISPO;Deputado Estadual;80123;UP
AMANDA LIMA DIAS;AMANDA DIAS;Deputado Estadual;90900;PROS
AMANDA CAETANO MARCHESONI;AMANDA DO SOCIAL;Deputado Estadual;35800;PMB
AMANDA VETTORAZZO CARNEIRO;AMANDA VETTORAZZO;Deputado Estadual;44333;UNIÃO
AMARINILDA JOSÉ CUSTÓDIO;AMARINILDA;Deputado Estadual;90478;PROS
ANA PAULA CARVALHO BEATHALTER;ANA BEATHALTER;Deputado Estadual;51333;PATRIOTA
ANA CAROLINA ROSSI BARRETO SERRA;ANA CAROLINA SERRA;Deputado Estadual;23023;CIDADANIA
ANA CLAUDIA SEVERINO RIVERA;ANA CLAUDIA RIVERA;Deputado Estadual;36918;AGIR
ANA IMACULADA VALERIO;ANA DA BOA SORTE;Deputado Estadual;77772;SOLIDARIEDADE
ANA PAULA MELO PETILO;ANA MELO;Deputado Estadual;35822;PMB
ANA CLAUDIA SILVA MIELKE;ANA MIELKE;Deputado Estadual;50075;PSOL
ANA ANGELA PALERMO;ANA PALERMO;Deputado Estadual;28100;PRTB
ANA PAULA MAGALHÃES DA SILVA PETILI;ANA PAULA PETILI;Deputado Estadual;30331;NOVO
ANA PAULA ROSSI DE ALMEIDA MAGDESIAN;ANA PAULA ROSSI;Deputado Estadual;22022;PL
ANA LUCIA LIPPAUS PERUGINI;ANA PERUGINI;Deputado Estadual;13121;PT
ANA KEYLA SILVA SANTIAGO;ANA SANTIAGO;Deputado Estadual;45453;PSDB
ANA CRISTINA VARGAS CALDEIRA;ANA VARGAS ADVOGADA;Deputado Estadual;22232;PL
JOSEFA ANADETE DOS SANTOS SILVA;ANADETHY CARAVANISTA;Deputado Estadual;15117;MDB
ANALICE FERNANDES;ANALICE FERNANDES;Deputado Estadual;45400;PSDB
ANDERSON DOS SANTOS;ANDERSON DA ACESSIBILIDADE;Deputado Estadual;11119;PP
ANDERSON DOS SANTOS MARTINS DE SOUZA;ANDERSON MARTINS;Deputado Estadual;19600;PODE
ANDERSON MARTINS SALGADO;ANDERSON SALGADO KING;Deputado Estadual;77458;SOLIDARIEDADE
ANDRÉ NALEPA ABBUD;ANDRÉ;Deputado Estadual;30010;NOVO
ANDRÉ LUIZ BARBEZANI;ANDRE BARBEZANI;Deputado Estadual;15050;MDB
ANDRE LUIS ANCHÃO BRAGA;ANDRE BRAGA;Deputado Estadual;45617;PSDB
ANDRÉ LUIZ DA SILVA;ANDRE CURI;Deputado Estadual;15557;MDB
ANDRÉ LUIZ PREVIATO KODJAOGLANIAN;ANDRÉ DELEGADO FEDERAL;Deputado Estadual;55022;PSD
ANDRE LUIS DO PRADO;ANDRÉ DO PRADO;Deputado Estadual;22999;PL
ANDRE MARTINS MACHADO;ANDRE FALCON;Deputado Estadual;19345;PODE
ANDRÉ LUIZ GALHARDO JOÃO;ANDRÉ GALHARDO;Deputado Estadual;51001;PATRIOTA
ANDRÉ LUIZ NAVARRO GARCIA MANZANO;ANDRÉ MANZANO;Deputado Estadual;30999;NOVO
ANDRE PEREIRA DE MEDEIROS;ANDRÉ MEDEIROS ANDREZÃO;Deputado Estadual;55511;PSD
ANDRE CRISTHIANO CAYRES RIBEIRO;ANDRE RIBEIRO;Deputado Estadual;44220;UNIÃO
ANDRÉA DE PAULA SANTOS;ANDRÉA DE PAULA;Deputado Estadual;15158;MDB
ANDRÉA DAS NEVES NERI DE SANTANA;ANDREA NERI SANTANA;Deputado Estadual;40600;PSB
ANDREA SEIXAS;ANDREA SEIXAS;Deputado Estadual;51123;PATRIOTA
ANDRÉA WERNER SILVA BONOLI;ANDRÉA WERNER;Deputado Estadual;40000;PSB
ANDREIA TASSIANE ANTONACCI;ANDREIA ANTONACCI;Deputado Estadual;36011;AGIR
ANDREIA PEREIRA FERRAZ;ANDREIA FERRAZ;Deputado Estadual;51006;PATRIOTA
ANDREIA MARQUETE PASSOS;ANDREIA MARQUETE;Deputado Estadual;77724;SOLIDARIEDADE
ERICH DE ANDRES;ANDRES;Deputado Estadual;33123;PMN
ANDRESSA MAZZEI SIGNORETTI DA SILVA;ANDRESSA MAZZEI;Deputado Estadual;28145;PRTB
ANDREY PEDRO PEREIRA DE ALMEIDA;ANDREY PEDRO;Deputado Estadual;33015;PMN
JOSANGELA SILVEIRA MELO;ÂNGELA MELO;Deputado Estadual;70156;AVANTE
ANGELA OROSCO DE MELO;ANGELA PROTETORA;Deputado Estadual;15022;MDB
ANGÉLICA CRISTINA FASSINA HADI;ANGÉLICA HADI;Deputado Estadual;70015;AVANTE
ANGÉLICA DIAS DA SILVA;ANGÉLICA MARESIAS;Deputado Estadual;33933;PMN
ANGELINA DIAS DA SILVA;ANGELINA DIAS;Deputado Estadual;29294;PCO
ANGELO ANTONIO BUCIOLOTI;ANGELO BUCIOLOTI;Deputado Estadual;20023;PSC
ANGELO MARCIO DE JESUS SILVA;ANGELO MARCIO;Deputado Estadual;35193;PMB
ANILTON HERCULINO DOS SANTOS;ANILTON SANTOS;Deputado Estadual;90111;PROS
ANA CRISTINA ALVES;ANNA ROSA DE SARON;Deputado Estadual;45666;PSDB
ANNE VITORIA DIAS MOTA;ANNE MOTA;Deputado Estadual;90828;PROS
ANTÔNIO CARLOS DA SILVA;ANTÔNIO CARLOS DA SILVA;Deputado Estadual;10910;REPUBLICANOS
ANTONIO DA SILVA E SOUZA;ANTONIO DA SILVA E SOUZA;Deputado Estadual;14108;PTB
ANTÔNIO ROCHA DOS SANTOS;ANTÔNIO ROCHA;Deputado Estadual;27866;DC
MARIA APARECIDA DE JESUS;APARECIDA DE JESUS;Deputado Estadual;11227;PP
ROGERIO MOURA TOMAZ;APÓSTOLO ROGÉRIO TOMAZ;Deputado Estadual;10317;REPUBLICANOS
HILDON DE OLIVEIRA ROCHA;APRESENTADOR HILDON ROCHA;Deputado Estadual;15013;MDB
ARIELY PEDROSO SILVA PRETER;ARIELY PEDROSO;Deputado Estadual;20420;PSC
ARLETE TAVARES DOS SANTOS BARBOSA;ARLETE TAVARES;Deputado Estadual;19097;PODE
ARLINDO AMARO DOS SANTOS;ARLINDO AMARO;Deputado Estadual;19054;PODE
ARLINDO MARIANO DE ARAUJO FILHO;ARLINDO ARAÚJO;Deputado Estadual;15620;MDB
ARLINDO DE OLIVEIRA CAMARGO;ARLINDO CAMARGO;Deputado Estadual;90300;PROS
ARNALDO JOSE MARÍA CANCELA;ARNALDO CANCELLA;Deputado Estadual;11445;PP
ARNALDO REISDECOPA NASCIMENTO;ARNALDO REISDECOPA;Deputado Estadual;12131;PDT
DAVID GONÇALVES MOREIRA;ARQUITETO DAVI;Deputado Estadual;11007;PP
ARTUR CASSEB ORSI;ARTUR ORSI;Deputado Estadual;55655;PSD
ATAIDE ROBERTO DA SILVA JUNIOR;ATAIDE ROBERTO;Deputado Estadual;12310;PDT
ATAIDE TERUEL PEREZ;ATAIDE TERUEL;Deputado Estadual;19001;PODE
ÁTILA CESAR MONTEIRO JACOMUSSI;ATILA JACOMUSSI;Deputado Estadual;77000;SOLIDARIEDADE
AUDREY ANA MARCONDES GOGLIANO;AUDREY GOGLIANO;Deputado Estadual;14130;PTB
AUDREY KLEYS CABRAL DE OLIVEIRA DINAU;AUDREY KLEYS;Deputado Estadual;11123;PP
CARLOS AUGUSTO PEREIRA COSTA;AUGUSTO BOMEIRO ANJOS DO BEM;Deputado Estadual;90199;PROS
AUGUSTO DOS REIS FERREIRA;AUGUSTO DOS REIS FERREIRA;Deputado Estadual;55030;PSD
AURELIANO CARNEIRO DE LIMA;AURELIANO CICLISTA;Deputado Estadual;19147;PODE
AVEDIS GOGENHAN;AVEDIS GUDJENIAN;Deputado Estadual;14888;PTB
GIRLANE LIMA DE SOUZA;BAIANA DO QUEBRA QUEIXO;Deputado Estadual;20088;PSC
WILSON DE VASCONCELOS VEIGA;BAIXINHO BARBEIRO;Deputado Estadual;35121;PMB
TEONÍLIO MONTEIRO DA COSTA;BARBA;Deputado Estadual;13110;PT
JOSE ANTONIO BARROS MUNHOZ;BARROS MUNHOZ;Deputado Estadual;45545;PSDB
AGILDO FAUSTINO DOS SANTOS JUNIOR;BATATA;Deputado Estadual;20033;PSC
ISABELA CRISTINA CARDOSO DA CRUZ;BELLA OYAA;Deputado Estadual;22722;PL
BENJAMIN NOEL;BEN NOEL;Deputado Estadual;90919;PROS
EDIVALDO BENÍCIO;BENÍCIO BALIEIRO;Deputado Estadual;55195;PSD
JOSÉ CARLOS TREVENZOLLI FILHO;BÉPE PANTERA;Deputado Estadual;55455;PSD
JOSE CARLOS BERNARDI;BERNARDI;Deputado Estadual;14000;PTB
ANTONIO BESERRA LIMA;BESERRA;Deputado Estadual;22921;PL
ROBERTO PAULIS;BETÃO DO LAVA RÁPIDO;Deputado Estadual;70747;AVANTE
ELISABETH SAHÃO;BETH SAHÃO;Deputado Estadual;13456;PT
ALBERTO ADRIANO DE JESUS;BETHO IEESUS;Deputado Estadual;40004;PSB
GILBERTO DANIEL JUNIOR;BETINHO;Deputado Estadual;44300;UNIÃO
VALDENIR JOSÉ BITIU;BETIU;Deputado Estadual;20333;PSC
ROBERTO FRIAS FILHO;BETO FRIAS;Deputado Estadual;30636;NOVO
JOÃO ROBERTO DE SIQUEIRA;BETO SIQUEIRA JR;Deputado Estadual;11050;PP
CARLOS ROBERTO TOLEDO;BETO TOLEDO;Deputado Estadual;51050;PATRIOTA
BIANCA CESÁRIO DE OLIVEIRA;BIANCA CESÁRIO;Deputado Estadual;28007;PRTB
RONALDO FRANCISCO DA CRUZ;BIÉ CRUZ;Deputado Estadual;15550;MDB
ADILSON ALVES LUZ;BILLY DA VS;Deputado Estadual;28238;PRTB
ERISVALDO DE SOUSA AGUIAR;BILLY SOUSA;Deputado Estadual;90013;PROS
MARCO ANTONIO BIOTO;BIOTO NPN;Deputado Estadual;20020;PSC
UBIRADILSON DA SILVA;BIRA;Deputado Estadual;27733;DC
UBIRAJARA DE ARAUJO MORAIS;BIRA CAMINHONEIRO;Deputado Estadual;36640;AGIR
MARIA VILMA FIGUEIREDO DA SILVA JACINTO;BISPA MARIA VILMA DECRISTO;Deputado Estadual;19037;PODE
ELIANDRO SILVA DIAS;BISPO ELIANDRO DIAS;Deputado Estadual;33500;PMN
ANDERSON HENRIQUE PINTO;BISTECA - ZONA NORTE;Deputado Estadual;35447;PMB
ADEMIR WELLITON DE OLIVEIRA;BIZI;Deputado Estadual;51111;PATRIOTA
BOAVENTURA PEREIRA SANTOS;BOAVENTURA;Deputado Estadual;70233;AVANTE
JOSÉ CARLOS CARRASCOSA DOS SANTOS;BOI;Deputado Estadual;45445;PSDB
ROBERTO CASTRO COSTA;BOMBEIRO COSTA;Deputado Estadual;28193;PRTB
VALDOMIRO NUNES DE QUEIROZ;BOMBEIRO QUEIROZ;Deputado Estadual;77077;SOLIDARIEDADE
MARCOS VITOR LESSA;BOMBEIRO TENENTE LESSA;Deputado Estadual;14044;PTB
MÁRIO COROCHEL NETO;BONEZINHO CORROCHEL;Deputado Estadual;70333;AVANTE
JOÃO BOSCO LOURENÇO;BOSCO AUTOMOVEIS;Deputado Estadual;90500;PROS
BRAZ PEREIRA;BRAZ PEREIRA;Deputado Estadual;28386;PRTB
BRIGIDA CAIRES DINARDI;BRIGIDA CAIRES;Deputado Estadual;77250;SOLIDARIEDADE
BRIGIDA PINATTI AMATTE;BRIGIDA PINATTI;Deputado Estadual;10125;REPUBLICANOS
ELIANA ATTINI PALMIERI;BRU PALMIERI;Deputado Estadual;10666;REPUBLICANOS
BRUNA DIAS FURLAN VICENTE;BRUNA FURLAN;Deputado Estadual;45000;PSDB
BRUNA CHAMAS BIONDI;BRUNA MULHERES POR + DIREITOS;Deputado Estadual;50321;PSOL
BRUNO DE OLIVEIRA ALVES;BRUNINHO OLIVEIRA;Deputado Estadual;12444;PDT
BRUNO TIAGO DA SILVA BRANDINO;BRUNO BRANDINO;Deputado Estadual;30018;NOVO
BRUNO DE SOUSA ALVES;BRUNO MEZENGA;Deputado Estadual;15012;MDB
BRUNO RAMOS DA SILVA;BRUNO RAMOS;Deputado Estadual;13127;PT
BRUNO LOPES ROVAI;BRUNO ROVAI;Deputado Estadual;51236;PATRIOTA
BRUNO LUCIANO MEIRA MARTINS;BRUNO SUCESSO;Deputado Estadual;77550;SOLIDARIEDADE
BRUNO ZAMBELLI SALGADO;BRUNO ZAMBELLI;Deputado Estadual;22100;PL
MARCO AURELIO MOREIRA ROQUE;BRUTTUS CASCA GROSSA;Deputado Estadual;10220;REPUBLICANOS
AGEU DA CRUZ ALMEIDA;CABO AGEU;Deputado Estadual;14777;PTB
ANDERSON FABIANO PUPO FERNANDES;CABO ANDERSON;Deputado Estadual;22677;PL
ANDRÉA PAROLIN PAVANI PERINOTI;CABO ANDRÉA;Deputado Estadual;55700;PSD
ANGELO PAULINO DA SILVA;CABO ANGELO;Deputado Estadual;43190;PV
ANNE CAROLINE SILVA;CABO CAROL;Deputado Estadual;22230;PL
CELIMAR GOMES DA SILVA;CABO CELIMAR;Deputado Estadual;77190;SOLIDARIEDADE
DEYCON FRANCISCO DA SILVA;CABO DEYCON SILVA;Deputado Estadual;14193;PTB
EDMAR DIAS BRITO;CABO DIAS DO PROERD;Deputado Estadual;28622;PRTB
MAURÍCIO FERREIRA LIMA;CABO FERREIRA LIMA;Deputado Estadual;20888;PSC
LÔIDE CAMILO SOUZA FIUZA DE CARVALHO;CABO LOIDE FIUZA;Deputado Estadual;10181;REPUBLICANOS
REGINALDO DA ROCHA MÁXIMO;CABO MÁXIMO;Deputado Estadual;35380;PMB
MARCELLO MAZÁRIO COSTA;CABO MAZARIO;Deputado Estadual;33331;PMN
OLAIR FERNANDO SOARES;CABO OLAIR SOARES;Deputado Estadual;35192;PMB
JOEL BATISTA RAMOS;CABO RAMOS;Deputado Estadual;20007;PSC
RENATO DE SOUZA OLIVEIRA;CABO RENATO ABDALA;Deputado Estadual;51003;PATRIOTA
SANDRA CANDIDO MORETTI;CABO SANDRA MORETTI;Deputado Estadual;15190;MDB
CLÁUDIO DO NASCIMENTO TORRES;CABO TORRES;Deputado Estadual;20011;PSC
LUCIANO ZACCHIA DE ARAUJO;CABO ZACCHIA;Deputado Estadual;70111;AVANTE
CACILDA SANTOS MAGALHÃES;CACILDA TURISMO;Deputado Estadual;10018;REPUBLICANOS
MARCOS LUIZ ABDO DE SIQUEIRA;CACO SIQUEIRA;Deputado Estadual;36363;AGIR
CARLOS EDUARDO PEREZ;CADU;Deputado Estadual;30456;NOVO
CAIO ALEXANDRE GOMES DA SILVA;CAIO ALEXANDRE;Deputado Estadual;20010;PSC
CAIO HENRIQUE DA SILVA;CAIO DO POVO;Deputado Estadual;33888;PMN
CAIO FIORI DIAS;CAIO DO VOVÔ ANESIO;Deputado Estadual;11125;PP
CAIO ALEXANDRE RAMOS FORCEL;CAIO FORCEL;Deputado Estadual;77088;SOLIDARIEDADE
CAIO FRANÇA DE GOUVÊA GOMES;CAIO FRANÇA;Deputado Estadual;40640;PSB
CAIO VINICIUS DE MOURA LUZ;CAIO LUZ;Deputado Estadual;15200;MDB
CAIQUE MAFRA BARBOSA;CAIQUE MAFRA;Deputado Estadual;10038;REPUBLICANOS
CLAUDIO LUIS CAIVANO;CAIVANO;Deputado Estadual;14822;PTB
PEDRO ADERSON FURTADO SOARES;CAMELÔ ANDERSON DO CAFEZINHO;Deputado Estadual;70369;AVANTE
CAMILA CRISTINA BRITO;CAMILA BRITO;Deputado Estadual;36001;AGIR
CAMILA GRASIELE SANGREGORIO SOARES;CAMILA SANGREGORIO;Deputado Estadual;44127;UNIÃO
CAMILA TAPIA ROJAS SEGATO;CAMILA TAPIA;Deputado Estadual;40404;PSB
ABEL FELIX CAMPOS NETO;CAMPOS;Deputado Estadual;35735;PMB
ANTONIO CARLOS DE CAMPOS MACHADO;CAMPOS MACHADO;Deputado Estadual;70140;AVANTE
ALISSON GUIMARÃES PEREIRA DE SOUZA;CAPITÃO ALISSON;Deputado Estadual;22250;PL
LUIZ CARLOS DE PAULA;CAPITÃO AMERICA DE PAULA;Deputado Estadual;15040;MDB
JOSE BRAZ DE OLIVEIRA JUNIOR;CAPITÃO BRAZ;Deputado Estadual;22090;PL
ROBERVAL CONTE LOPES LIMA;CAPITÃO CONTE LOPES;Deputado Estadual;22138;PL
GUILHERME LAZO SOLANO NETO;CAPITÃO SOLANO;Deputado Estadual;11100;PP
RAFAEL HENRIQUE CANO TELHADA;CAPITÃO TELHADA;Deputado Estadual;11190;PP
LUIZ CLAUDIO VENANCIO ALVES;CAPITÃO VENANCIO;Deputado Estadual;44441;UNIÃO
CLAUDINEI VIEIRA SOARES;CAPITÃO VIEIRA;Deputado Estadual;28887;PRTB
IRENIO OLIVEIRA CARDOSO;CARDOSO PARACHOQUES;Deputado Estadual;35010;PMB
CARINA VITRAL COSTA;CARINA VITRAL;Deputado Estadual;65180;PC do B
CLEONICE ALVES SANTOS;CARLA ALVES;Deputado Estadual;36463;AGIR
CARLA SARDANO MORANDO;CARLA MORANDO;Deputado Estadual;45680;PSDB
CARLOS ROBERTO DE OLIVEIRA;CARLÃO DO PT;Deputado Estadual;13120;PT
CARLOS AUGUSTO DOS SANTOS;CARLÃO DOS TRABALHADORES(AS);Deputado Estadual;77888;SOLIDARIEDADE
CARLOS EDUARDO PIGNATARI;CARLÃO PIGNATARI;Deputado Estadual;45232;PSDB
CARLOS FERNANDO SERRA DO NASCIMENTO;CARLÃO REAÇA;Deputado Estadual;35600;PMB
CARLOS AGUIAR DE ANDRADE;CARLINHOS AGUIAR;Deputado Estadual;22211;PL
CARLOS ALBERTO BOARINI;CARLINHOS BOARINI;Deputado Estadual;11211;PP
